iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population
AFG,Asia,Afghanistan,2020-02-24,5.0,5.0,,,0.126,0.126,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-02-25,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-02-26,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-02-27,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-02-28,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-02-29,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-01,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-02,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-03,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-04,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-05,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-06,5.0,0.0,,,0.126,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-07,8.0,3.0,,,0.201,0.075,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-08,8.0,0.0,,,0.201,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-09,8.0,0.0,,,0.201,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-10,8.0,0.0,,,0.201,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-11,11.0,3.0,,,0.276,0.075,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-12,11.0,0.0,,,0.276,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-13,11.0,0.0,,,0.276,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-14,14.0,3.0,,,0.351,0.075,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-15,20.0,6.0,,,0.502,0.151,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-16,25.0,5.0,,,0.628,0.126,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-17,26.0,1.0,,,0.653,0.025,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-18,26.0,0.0,,,0.653,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-19,26.0,0.0,,,0.653,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-20,24.0,,,,0.602,,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-21,24.0,0.0,,,0.602,0.0,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-22,34.0,10.0,,,0.854,0.251,,,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-23,40.0,6.0,1.0,1.0,1.004,0.151,0.025,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-24,42.0,2.0,1.0,0.0,1.054,0.05,0.025,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-25,74.0,32.0,1.0,0.0,1.858,0.803,0.025,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-26,80.0,6.0,2.0,1.0,2.008,0.151,0.05,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-27,91.0,11.0,2.0,0.0,2.284,0.276,0.05,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-28,106.0,15.0,2.0,0.0,2.661,0.377,0.05,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-29,114.0,8.0,4.0,2.0,2.862,0.201,0.1,0.05,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-30,114.0,0.0,4.0,0.0,2.862,0.0,0.1,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-03-31,166.0,52.0,4.0,0.0,4.167,1.305,0.1,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-01,192.0,26.0,4.0,0.0,4.82,0.653,0.1,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-02,235.0,43.0,4.0,0.0,5.899,1.079,0.1,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-03,269.0,34.0,5.0,1.0,6.753,0.854,0.126,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-04,270.0,1.0,5.0,0.0,6.778,0.025,0.126,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-05,299.0,29.0,7.0,2.0,7.506,0.728,0.176,0.05,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-06,337.0,38.0,7.0,0.0,8.46,0.954,0.176,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-07,367.0,30.0,11.0,4.0,9.213,0.753,0.276,0.1,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-08,423.0,56.0,14.0,3.0,10.619,1.406,0.351,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-09,444.0,21.0,15.0,1.0,11.146,0.527,0.377,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-10,521.0,77.0,15.0,0.0,13.079,1.933,0.377,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-11,521.0,0.0,15.0,0.0,13.079,0.0,0.377,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-12,555.0,34.0,18.0,3.0,13.932,0.854,0.452,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-13,607.0,52.0,19.0,1.0,15.238,1.305,0.477,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-14,665.0,58.0,22.0,3.0,16.694,1.456,0.552,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-15,770.0,105.0,25.0,3.0,19.33,2.636,0.628,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-16,794.0,24.0,29.0,4.0,19.932,0.602,0.728,0.1,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-17,845.0,51.0,30.0,1.0,21.212,1.28,0.753,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-18,908.0,63.0,30.0,0.0,22.794,1.582,0.753,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-19,933.0,25.0,30.0,0.0,23.421,0.628,0.753,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-20,996.0,63.0,33.0,3.0,25.003,1.582,0.828,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-21,1026.0,30.0,36.0,3.0,25.756,0.753,0.904,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-22,1092.0,66.0,36.0,0.0,27.413,1.657,0.904,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-23,1176.0,84.0,40.0,4.0,29.521,2.109,1.004,0.1,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-24,1226.0,50.0,40.0,0.0,30.777,1.255,1.004,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-25,1330.0,104.0,43.0,3.0,33.387,2.611,1.079,0.075,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-26,1463.0,133.0,49.0,6.0,36.726,3.339,1.23,0.151,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-27,1531.0,68.0,50.0,1.0,38.433,1.707,1.255,0.025,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-28,1703.0,172.0,60.0,10.0,42.751,4.318,1.506,0.251,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-29,1827.0,124.0,60.0,0.0,45.864,3.113,1.506,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-04-30,1827.0,0.0,60.0,0.0,45.864,0.0,1.506,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-01,2171.0,344.0,64.0,4.0,54.499,8.636,1.607,0.1,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-02,2469.0,298.0,72.0,8.0,61.98,7.481,1.807,0.201,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-03,2469.0,0.0,72.0,0.0,61.98,0.0,1.807,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-04,2469.0,0.0,72.0,0.0,61.98,0.0,1.807,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-05,2469.0,0.0,72.0,0.0,61.98,0.0,1.807,0.0,,,,,,,,,,39835428.0
AFG,Asia,Afghanistan,2020-05-06,3224.0,755.0,95.0,23.0,80.933,18.953,2.385,0.577,,,,,,,,,,39835428.0
