state,year,population,property_rates_all,rates_burglary,rates_larceny,rates_motor,violent_rates_all,rates_assault,rates_murder,rates_rape,rates_robbery,property_total_all,total_burglary,total_larceny,total_motor,violent_total_all,total_assault,total_murder,total_rape,total_robbery
Connecticut,1960,2535234,1119.9,333.4,656.9,129.7,36.6,21.6,1.6,4.1,9.3,28393,8452,16653,3288,928,548,41,103,236
Connecticut,1961,2614000,1211.1,364.4,715.8,130.8,33.6,21.1,1.0,2.4,9.1,31658,9526,18712,3420,878,551,25,64,238
Connecticut,1962,2597000,1301.4,395.0,760.1,146.2,36.1,21.8,1.3,3.1,9.9,33798,10259,19741,3798,938,565,34,81,258
Connecticut,1963,2666000,1532.4,470.9,877.6,183.9,44.7,25.9,1.8,3.3,13.7,40853,12553,23397,4903,1192,691,47,88,366
Connecticut,1964,2766000,1742.0,531.9,1003.4,206.7,64.1,41.9,1.8,5.5,15.0,48185,14713,27755,5717,1773,1158,49,152,414
Connecticut,1965,2832000,1764.8,563.5,983.8,217.4,69.7,43.5,1.6,5.2,19.3,49978,15959,27862,6157,1973,1233,46,148,546
Connecticut,1966,2875000,1907.6,616.6,1040.7,250.3,74.6,45.8,2.0,6.0,20.9,54844,17728,29919,7197,2146,1316,57,172,601
Connecticut,1967,2925000,2185.4,751.7,1112.6,321.1,95.9,55.7,2.4,5.6,32.2,63922,21987,32543,9392,2804,1629,70,164,941
Connecticut,1968,2959000,2761.1,964.4,1420.5,376.1,129.3,73.7,2.5,8.0,45.0,81702,28538,42034,11130,3825,2182,73,238,1332
Connecticut,1969,3000000,3078.3,987.5,1663.0,427.8,147.2,79.1,2.9,8.7,56.5,92349,29624,49891,12834,4415,2373,86,260,1696
Connecticut,1970,3032217,3319.0,1084.2,1750.7,484.2,170.4,87.4,3.5,9.1,70.4,100640,32874,53084,14682,5167,2649,106,276,2136
Connecticut,1971,3081000,3452.5,1067.3,1846.0,539.1,193.7,95.5,3.1,11.9,83.2,106370,32884,56875,16611,5968,2942,96,367,2563
Connecticut,1972,3082000,3203.9,956.8,1778.0,469.1,199.2,107.9,3.2,8.9,79.1,98745,29489,54798,14458,6138,3326,100,275,2437
Connecticut,1973,3076000,3455.7,1029.3,1909.7,516.7,208.7,110.1,3.3,11.1,84.2,106296,31661,58742,15893,6421,3388,102,342,2589
Connecticut,1974,3088000,4178.8,1353.9,2275.0,549.9,228.1,121.4,3.3,11.2,92.3,129042,41808,70252,16982,7045,3749,101,345,2850
Connecticut,1975,3095000,4688.6,1512.6,2603.6,572.4,268.4,120.6,3.9,12.4,131.5,145111,46815,80581,17715,8308,3734,120,385,4069
Connecticut,1976,3117000,4731.4,1383.9,2785.8,561.8,273.2,132.8,3.1,14.4,122.9,147477,43135,86832,17510,8516,4140,97,448,3831
Connecticut,1977,3108000,4559.8,1346.0,2620.7,593.2,282.3,131.8,4.2,16.8,129.5,141719,41833,81450,18436,8774,4095,132,521,4026
Connecticut,1978,3099000,4614.5,1362.0,2597.6,654.9,315.0,138.8,4.2,17.2,154.8,143003,42207,80500,20296,9762,4302,129,533,4798
Connecticut,1979,3115000,5365.4,1548.3,3113.9,703.2,414.2,192.6,4.2,24.1,193.3,167131,48229,96997,21905,12902,5998,131,752,6021
Connecticut,1980,3095224,5469.2,1700.6,3089.6,678.9,412.5,168.1,4.7,21.6,218.0,169283,52638,95631,21014,12768,5203,146,670,6749
Connecticut,1981,3132000,5389.2,1691.9,3094.7,602.6,448.1,174.6,5.4,21.9,246.1,168790,52990,96927,18873,14033,5469,168,687,7709
Connecticut,1982,3153000,5028.0,1410.8,3065.0,552.2,399.5,163.9,5.2,21.9,208.5,158532,44481,96640,17411,12597,5167,164,692,6574
Connecticut,1983,3138000,4602.8,1274.3,2849.6,478.9,375.0,150.3,4.1,20.0,200.6,144437,39988,89421,15028,11767,4715,129,627,6296
Connecticut,1984,3154000,4235.0,1128.9,2683.3,422.8,393.8,175.4,3.9,24.1,190.5,133573,35607,84630,13336,12422,5532,122,759,6009
Connecticut,1985,3174000,4302.8,1135.5,2726.0,441.3,402.0,184.1,3.8,24.0,190.0,136572,36041,86524,14007,12758,5843,120,763,6032
Connecticut,1986,3189000,4403.0,1197.6,2758.3,447.1,425.8,205.1,4.6,23.8,192.2,140411,38190,87963,14258,13578,6541,148,760,6129
Connecticut,1987,3211000,4576.7,1218.3,2829.4,529.0,419.0,211.1,4.9,24.9,178.1,146958,39120,90852,16986,13455,6779,156,800,5720
Connecticut,1988,3241000,4642.2,1218.0,2810.2,614.0,455.4,236.2,5.4,26.2,187.6,150455,39477,91079,19899,14759,7656,174,849,6080
Connecticut,1989,3239000,4758.2,1236.0,2824.4,697.8,511.8,263.6,5.9,27.5,214.8,154119,40035,91483,22601,16576,8538,190,892,6956
Connecticut,1990,3287116,4833.0,1227.7,2874.4,730.9,553.7,286.0,5.1,27.9,234.8,158867,40355,94485,24027,18201,9400,166,918,7717
Connecticut,1991,3291000,4824.4,1191.1,2837.6,795.7,539.7,280.5,5.7,29.2,224.4,158770,39198,93384,26188,17761,9230,187,960,7384
Connecticut,1992,3281000,4557.6,1108.6,2726.7,722.3,495.3,252.5,5.1,26.9,210.9,149535,36372,89463,23700,16252,8284,166,884,6918
Connecticut,1993,3277000,4194.2,978.1,2620.6,595.5,456.2,228.7,6.3,24.4,196.7,137443,32052,85876,19515,14949,7496,206,800,6447
Connecticut,1994,3275000,4092.5,889.8,2586.9,615.8,455.5,236.5,6.6,24.6,187.8,134030,29142,84721,20167,14916,7745,215,806,6150
Connecticut,1995,3275000,4097.3,888.4,2668.7,540.2,405.9,214.4,4.6,23.7,163.2,134188,29095,87401,17692,13293,7022,150,776,5345
Connecticut,1996,3274000,3815.6,842.2,2484.1,489.4,412.0,214.6,4.8,23.1,169.6,124924,27574,81328,16022,13490,7025,158,755,5552
Connecticut,1997,3270000,3593.4,738.3,2410.4,444.7,390.9,211.6,3.8,22.6,152.9,117505,24143,78821,14541,12781,6918,124,740,4999
Connecticut,1998,3274000,3420.2,665.9,2366.3,388.1,366.3,206.2,4.1,22.2,133.8,111978,21801,77472,12705,11993,6751,135,728,4379
Connecticut,1999,3282031,3043.7,588.0,2111.5,344.2,345.6,198.9,3.3,19.9,123.5,99894,19298,69299,11297,11342,6527,107,654,4054
Connecticut,2000,3405565,2908.0,512.0,2011.4,384.6,324.7,189.4,2.9,19.9,112.5,99033,17436,68498,13099,11058,6450,98,678,3832
Connecticut,2001,3434602,2774.7,499.6,1914.7,360.4,334.6,191.1,3.1,18.6,121.8,95299,17159,65762,12378,11492,6565,105,639,4183
