state,year,population,property_rates_all,rates_burglary,rates_larceny,rates_motor,violent_rates_all,rates_assault,rates_murder,rates_rape,rates_robbery,property_total_all,total_burglary,total_larceny,total_motor,violent_total_all,total_assault,total_murder,total_rape,total_robbery
Alabama,1960,3266740,1035.4,355.9,592.1,87.3,186.6,138.1,12.4,8.6,27.5,33823,11626,19344,2853,6097,4512,406,281,898
Alabama,1961,3302000,985.5,339.3,569.4,76.8,168.5,128.9,12.9,7.6,19.1,32541,11205,18801,2535,5564,4255,427,252,630
Alabama,1962,3358000,1067.0,349.1,634.5,83.4,157.3,119.0,9.4,6.5,22.5,35829,11722,21306,2801,5283,3995,316,218,754
Alabama,1963,3347000,1150.9,376.9,683.4,90.6,182.7,142.1,10.2,5.7,24.7,38521,12614,22874,3033,6115,4755,340,192,828
Alabama,1964,3407000,1358.7,466.6,784.1,108.0,213.1,163.0,9.3,11.7,29.1,46290,15898,26713,3679,7260,5555,316,397,992
Alabama,1965,3462000,1392.7,473.7,812.1,106.9,199.8,149.1,11.4,10.6,28.7,48215,16398,28115,3702,6916,5162,395,367,992
Alabama,1966,3517000,1528.0,527.5,869.6,131.0,230.3,177.7,10.9,9.7,32.0,53740,18551,30583,4606,8098,6249,384,341,1124
Alabama,1967,3540000,1612.4,571.4,895.0,146.0,238.6,183.5,11.7,10.5,33.0,57079,20227,31682,5170,8448,6495,415,371,1167
Alabama,1968,3566000,1766.6,628.2,967.7,170.7,232.4,168.5,11.8,11.1,41.0,62997,22403,34508,6086,8288,6009,421,396,1462
Alabama,1969,3531000,1876.2,667.2,1037.8,171.2,250.4,181.7,13.7,14.0,41.0,66248,23559,36644,6045,8842,6415,485,494,1448
Alabama,1970,3444165,2183.8,776.4,1184.0,223.5,295.7,215.2,11.7,18.5,50.3,75214,26739,40779,7696,10185,7413,404,637,1731
Alabama,1971,3479000,2187.0,791.8,1173.9,221.2,311.4,219.7,15.1,19.0,57.6,76084,27547,40841,7696,10835,7645,524,661,2005
Alabama,1972,3510000,2081.3,789.6,1096.7,195.0,313.2,211.7,14.1,18.8,68.6,73053,27714,38493,6846,10994,7431,496,660,2407
Alabama,1973,3539000,2232.2,897.3,1107.8,227.2,350.1,236.3,13.2,21.2,79.4,78999,31754,39206,8039,12390,8362,468,751,2809
Alabama,1974,3577000,2627.2,1057.9,1308.7,260.6,372.9,235.6,15.0,22.7,99.6,93976,37841,46813,9322,13338,8429,536,811,3562
Alabama,1975,3614000,3079.6,1163.8,1645.5,270.3,392.9,233.5,16.0,20.4,123.0,111296,42059,59470,9767,14201,8440,577,738,4446
Alabama,1976,3665000,3419.5,1170.0,1987.2,262.3,388.8,256.0,15.1,21.7,96.0,125325,42879,72832,9614,14248,9381,553,794,3520
Alabama,1977,3690000,3298.2,1135.5,1881.9,280.7,414.4,278.3,14.2,25.2,96.8,121702,41901,69442,10359,15293,10268,524,929,3572
Alabama,1978,3742000,3519.7,1229.3,1987.9,302.5,419.1,281.2,13.3,25.5,99.1,131707,46001,74387,11319,15682,10521,499,954,3708
Alabama,1979,3769000,3830.5,1287.3,2223.2,320.1,413.3,263.1,13.2,27.5,109.5,144372,48517,83791,12064,15578,9918,496,1037,4127
Alabama,1980,3861466,4485.1,1526.7,2642.2,316.2,448.5,273.2,13.2,30.0,132.1,173191,58952,102029,12210,17320,10551,509,1158,5102
Alabama,1981,3916000,4428.3,1450.7,2693.3,284.2,470.5,306.1,11.9,26.1,126.5,173411,56811,105471,11129,18423,11985,465,1021,4952
Alabama,1982,3943000,4185.8,1256.2,2656.4,273.3,447.7,299.1,10.6,26.0,112.0,165048,49531,104740,10777,17653,11793,417,1026,4417
Alabama,1983,3959000,3685.0,1073.1,2381.4,230.5,416.0,284.9,9.2,23.5,98.4,145890,42485,94279,9126,16471,11281,364,931,3895
Alabama,1984,3990000,3470.9,1001.8,2235.5,233.6,431.2,300.6,9.4,25.1,96.1,138487,39970,89198,9319,17204,11995,374,1002,3833
Alabama,1985,4021000,3484.6,1034.9,2191.2,258.5,457.5,315.5,9.8,26.8,105.4,140115,41612,88108,10395,18398,12686,396,1079,4237
Alabama,1986,4053000,3730.3,1159.0,2304.4,267.0,558.0,407.9,10.1,28.4,111.6,151191,46974,93396,10821,22616,16534,409,1150,4523
Alabama,1987,4083000,3892.2,1198.3,2431.1,262.8,559.2,409.9,9.3,27.8,112.2,158918,48927,99260,10731,22833,16735,380,1137,4581
Alabama,1988,4127000,4003.1,1233.8,2502.6,266.7,558.6,401.2,9.9,29.8,117.8,165209,50920,103282,11007,23052,16556,408,1228,4860
Alabama,1989,4118000,4037.0,1146.8,2592.8,297.5,590.8,415.7,10.2,31.0,133.9,166244,47224,106771,12249,24329,17117,421,1276,5515
Alabama,1990,4040587,4206.7,1103.4,2755.4,347.8,708.6,520.7,11.6,32.6,143.7,169974,44585,111336,14053,28630,21039,467,1319,5805
Alabama,1991,4089000,4521.4,1268.6,2889.5,363.4,844.2,644.4,11.5,35.6,152.8,184882,51873,118151,14858,34518,26348,469,1455,6246
Alabama,1992,4136000,4396.4,1186.0,2848.2,362.3,871.7,654.6,11.0,41.2,164.9,181837,49053,117801,14983,36052,27074,455,1704,6819
Alabama,1993,4187000,4098.4,1088.6,2672.0,337.8,780.4,574.3,11.6,35.1,159.5,171598,45578,111878,14142,32676,24044,484,1471,6677
Alabama,1994,4219000,4219.4,1044.4,2843.1,331.8,683.7,465.3,11.9,35.2,171.2,178015,44064,119951,14000,28844,19633,501,1487,7223
Alabama,1995,4253000,4215.7,1024.8,2844.3,346.6,632.4,403.7,11.2,31.7,185.8,179294,43586,120967,14741,26894,17169,475,1350,7900
Alabama,1996,4273000,4254.7,1002.1,2886.7,366.0,565.4,356.0,10.0,33.0,167.0,181803,42821,123350,15632,24159,15194,444,1397,7124
Alabama,1997,4319000,4325.3,1013.8,2954.8,356.7,564.5,361.8,9.9,32.3,160.5,186809,43786,127616,15407,24379,15626,426,1396,6931
Alabama,1998,4352000,4085.0,964.3,2779.0,341.7,512.1,339.9,8.1,33.2,130.9,177779,41965,120943,14871,22286,14791,354,1443,5698
Alabama,1999,4369862,3922.3,884.4,2737.3,300.6,490.2,326.5,7.9,34.6,121.2,171398,38648,119616,13134,21421,14266,345,1513,5297
